incident_id,person_id,role
INC000001,P00688,accused
INC000002,P00688,accused
INC000003,P00649,accused
INC000004,P00649,accused
INC000005,P00649,accused
INC000006,P00649,accused
INC000007,P00649,accused
INC000008,P00353,accused
INC000009,P00353,accused
INC000010,P00353,accused
INC000011,P00353,accused
INC000012,P00385,accused
INC000013,P00385,accused
INC000014,P00227,accused
INC000015,P00227,accused
INC000016,P00227,accused
INC000017,P00227,accused
INC000018,P00227,accused
INC000019,P00105,accused
INC000020,P00105,accused
INC000021,P00105,accused
INC000022,P00241,accused
INC000023,P00241,accused
INC000024,P00241,accused
INC000025,P00241,accused
INC000026,P00241,accused
INC000027,P00396,accused
INC000028,P00396,accused
INC000029,P00396,accused
INC000030,P00396,accused
INC000031,P00396,accused
INC000032,P00103,accused
INC000033,P00103,accused
INC000034,P00103,accused
INC000035,P00550,accused
INC000036,P00550,accused
INC000037,P00550,accused
INC000038,P00550,accused
INC000039,P00550,accused
INC000040,P00505,accused
INC000041,P00505,accused
INC000042,P00100,accused
INC000043,P00100,accused
INC000044,P00100,accused
INC000045,P00100,accused
INC000046,P00148,accused
INC000047,P00148,accused
INC000048,P00148,accused
INC000049,P00148,accused
INC000050,P00146,accused
INC000051,P00146,accused
INC000052,P00146,accused
INC000053,P00146,accused
INC000054,P00139,accused
INC000055,P00139,accused
INC000056,P00139,accused
INC000057,P00139,accused
INC000058,P00139,accused
INC000059,P00741,accused
INC000060,P00741,accused
INC000061,P00741,accused
INC000062,P00741,accused
INC000063,P00504,accused
INC000064,P00504,accused
INC000065,P00504,accused
INC000066,P00504,accused
INC000067,P00406,accused
INC000068,P00406,accused
INC000069,P00406,accused
INC000070,P00406,accused
INC000071,P00301,accused
INC000072,P00301,accused
INC000073,P00335,accused
INC000074,P00335,accused
INC000075,P00009,accused
INC000076,P00009,accused
INC000077,P00009,accused
INC000078,P00009,accused
INC000079,P00368,accused
INC000080,P00368,accused
INC000081,P00178,accused
INC000082,P00178,accused
INC000083,P00178,accused
INC000084,P00178,accused
INC000085,P00178,accused
INC000086,P00717,accused
INC000087,P00717,accused
INC000088,P00717,accused
INC000089,P00394,accused
INC000090,P00394,accused
INC000091,P00394,accused
INC000092,P00190,accused
INC000093,P00190,accused
INC000094,P00190,accused
INC000095,P00190,accused
INC000096,P00267,accused
INC000097,P00267,accused
INC000098,P00267,accused
INC000099,P00267,accused
INC000100,P00267,accused
INC000101,P00107,accused
INC000102,P00107,accused
INC000103,P00107,accused
INC000104,P00107,accused
INC000105,P00107,accused
INC000106,P00338,accused
INC000107,P00338,accused
INC000108,P00338,accused
INC000109,P00338,accused
INC000110,P00212,accused
INC000111,P00212,accused
INC000112,P00212,accused
INC000113,P00212,accused
INC000114,P00536,accused
INC000115,P00536,accused
INC000116,P00536,accused
INC000117,P00736,accused
INC000118,P00736,accused
INC000119,P00198,accused
INC000120,P00198,accused
INC000121,P00198,accused
INC000122,P00198,accused
INC000123,P00198,accused
INC000124,P00589,accused
INC000125,P00589,accused
INC000126,P00589,accused
INC000127,P00589,accused
INC000128,P00589,accused
INC000129,P00689,accused
INC000130,P00689,accused
INC000131,P00415,accused
INC000132,P00415,accused
INC000133,P00415,accused
INC000134,P00415,accused
INC000135,P00415,accused
INC000136,P00559,accused
INC000137,P00559,accused
INC000138,P00559,accused
INC000139,P00559,accused
INC000140,P00748,accused
INC000141,P00748,accused
INC000142,P00748,accused
INC000143,P00748,accused
INC000144,P00748,accused
INC000145,P00015,accused
INC000146,P00015,accused
INC000147,P00015,accused
INC000148,P00015,accused
INC000149,P00015,accused
INC000150,P00278,accused
INC000151,P00278,accused
INC000152,P00278,accused
INC000153,P00249,accused
INC000154,P00249,accused
INC000155,P00249,accused
INC000156,P00249,accused
INC000157,P00326,accused
INC000158,P00326,accused
INC000159,P00326,accused
INC000160,P00359,accused
INC000161,P00359,accused
INC000162,P00359,accused
INC000163,P00359,accused
INC000164,P00050,accused
INC000165,P00050,accused
INC000166,P00050,accused
INC000167,P00294,accused
INC000168,P00294,accused
INC000169,P00294,accused
INC000170,P00294,accused
INC000171,P00114,accused
INC000172,P00114,accused
INC000173,P00392,accused
INC000174,P00392,accused
INC000175,P00640,accused
INC000176,P00640,accused
INC000177,P00640,accused
INC000178,P00798,accused
INC000179,P00798,accused
INC000180,P00420,accused
INC000181,P00420,accused
INC000182,P00503,accused
INC000183,P00503,accused
INC000184,P00216,accused
INC000185,P00216,accused
INC000186,P00216,accused
INC000187,P00216,accused
INC000188,P00216,accused
INC000189,P00097,accused
INC000190,P00097,accused
INC000191,P00097,accused
INC000192,P00097,accused
INC000193,P00060,accused
INC000194,P00060,accused
INC000195,P00350,accused
INC000196,P00350,accused
INC000197,P00350,accused
INC000198,P00350,accused
INC000199,P00053,accused
INC000200,P00053,accused
INC000201,P00053,accused
INC000202,P00053,accused
INC000203,P00053,accused
INC000204,P00018,accused
INC000205,P00018,accused
INC000206,P00409,accused
INC000207,P00409,accused
INC000208,P00409,accused
INC000209,P00409,accused
INC000210,P00110,accused
INC000211,P00110,accused
INC000212,P00110,accused
INC000213,P00110,accused
INC000214,P00110,accused
INC000215,P00708,accused
INC000216,P00708,accused
INC000217,P00159,accused
INC000218,P00159,accused
INC000219,P00159,accused
INC000220,P00598,accused
INC000221,P00598,accused
INC000222,P00598,accused
INC000223,P00012,accused
INC000224,P00012,accused
INC000225,P00012,accused
INC000226,P00012,accused
INC000227,P00213,accused
INC000228,P00213,accused
INC000229,P00213,accused
INC000230,P00213,accused
INC000231,P00213,accused
INC000232,P00675,accused
INC000233,P00675,accused
INC000234,P00675,accused
INC000235,P00675,accused
INC000236,P00675,accused
INC000237,P00293,accused
INC000238,P00293,accused
INC000239,P00293,accused
INC000240,P00293,accused
INC000241,P00293,accused
INC000242,P00028,accused
INC000243,P00028,accused
INC000244,P00028,accused
INC000245,P00024,accused
INC000246,P00024,accused
INC000247,P00776,accused
INC000248,P00776,accused
INC000249,P00776,accused
INC000250,P00776,accused
INC000251,P00666,accused
INC000252,P00666,accused
INC000253,P00666,accused
INC000254,P00445,accused
