district_id,year,crime_head,count
davanagere,2025,Cheating,3
belagavi,2024,Cheating,4
bagalkot,2025,Cheating,3
hassan,2024,Cheating,2
vijayapura,2025,Cheating,6
mandya,2024,Cheating,6
tumakuru,2025,Cheating,7
kalaburagi,2025,Hurt / Grievous Hurt,5
kodagu,2024,Hurt / Grievous Hurt,5
chikballapur,2024,Hurt / Grievous Hurt,1
yadgir,2025,Hurt / Grievous Hurt,6
dakshina_kannada,2024,Cheating,11
bengaluru_urban,2024,Cheating,5
bidar,2024,Theft,12
mysuru,2024,Theft,10
yadgir,2024,Theft,16
chikballapur,2025,Theft,6
dakshina_kannada,2024,Theft,7
dharwad,2024,Burglary,2
dharwad,2025,Burglary,7
tumakuru,2024,Burglary,4
koppal,2025,Robbery,2
bengaluru_rural,2024,Robbery,1
chikballapur,2024,Robbery,2
bagalkot,2025,Robbery,4
bidar,2024,Robbery,3
vijayapura,2025,Burglary,3
chikballapur,2024,Burglary,3
gadag,2025,Burglary,3
bidar,2025,Burglary,2
dharwad,2024,Theft,8
koppal,2025,Theft,9
kolar,2025,Theft,8
chikkamagaluru,2024,Burglary,3
raichur,2024,Burglary,4
chitradurga,2024,Burglary,2
shivamogga,2025,Burglary,2
hassan,2024,Burglary,3
vijayanagara,2025,Burglary,5
mandya,2024,Theft,9
chikkamagaluru,2024,Theft,7
hassan,2024,Theft,10
chikkamagaluru,2024,Robbery,4
shivamogga,2025,Robbery,3
haveri,2025,Robbery,1
ramanagara,2024,Robbery,2
vijayapura,2025,Hurt / Grievous Hurt,3
davanagere,2024,Hurt / Grievous Hurt,3
bengaluru_urban,2024,Hurt / Grievous Hurt,2
hassan,2024,Hurt / Grievous Hurt,4
koppal,2024,Hurt / Grievous Hurt,2
bagalkot,2025,Hurt / Grievous Hurt,2
dharwad,2024,Hurt / Grievous Hurt,3
shivamogga,2025,Theft,8
ramanagara,2024,Theft,9
chikkamagaluru,2025,Theft,13
bengaluru_rural,2025,Theft,9
udupi,2025,Burglary,6
chamarajanagar,2025,Burglary,5
bidar,2024,Burglary,4
