district_id,district_name,year,literacy_pct,unemployment_pct,urbanization_pct,sex_ratio,composite_stress_index
bagalkot,Bagalkot,2024,73.0,5.2,33.4,1013,0.589
ballari,Ballari,2024,65.2,3.2,27.6,968,0.456
belagavi,Belagavi,2024,73.1,4.8,35.2,1007,0.678
bengaluru_rural,Bengaluru Rural,2024,81.8,2.3,60.3,961,0.956
bengaluru_urban,Bengaluru Urban,2024,85.5,8.0,82.9,980,0.756
bidar,Bidar,2024,71.7,7.9,29.4,958,0.422
chamarajanagar,Chamarajanagar,2024,67.2,3.6,17.5,996,0.411
chikballapur,Chikballapur,2024,69.1,4.7,38.4,995,0.6
chikkamagaluru,Chikkamagaluru,2024,66.4,4.3,39.7,991,0.611
chitradurga,Chitradurga,2024,73.6,9.2,15.8,972,0.322
dakshina_kannada,Dakshina Kannada,2024,78.6,9.4,74.3,1014,0.678
davanagere,Davanagere,2024,70.4,5.0,21.6,1013,0.422
dharwad,Dharwad,2024,76.9,10.0,53.2,962,0.589
gadag,Gadag,2024,72.8,6.4,24.5,989,0.433
hassan,Hassan,2024,77.6,3.1,32.0,972,0.767
haveri,Haveri,2024,73.0,6.5,38.8,972,0.611
kalaburagi,Kalaburagi,2024,71.0,10.3,22.5,995,0.244
kodagu,Kodagu,2024,66.1,7.3,28.3,976,0.289
kolar,Kolar,2024,64.3,10.0,22.7,1012,0.133
koppal,Koppal,2024,77.3,6.9,34.0,963,0.578
mandya,Mandya,2024,70.7,5.1,25.6,990,0.467
mysuru,Mysuru,2024,81.4,3.5,75.0,989,0.933
raichur,Raichur,2024,65.7,5.7,20.8,960,0.256
ramanagara,Ramanagara,2024,72.8,10.2,16.8,998,0.256
shivamogga,Shivamogga,2024,67.0,10.5,26.8,1007,0.211
tumakuru,Tumakuru,2024,66.7,6.4,26.7,999,0.344
udupi,Udupi,2024,77.8,6.2,36.5,967,0.678
uttara_kannada,Uttara Kannada,2024,70.3,5.2,38.1,1011,0.556
vijayapura,Vijayapura,2024,71.7,11.0,39.2,1010,0.444
vijayanagara,Vijayanagara,2024,66.3,4.7,16.5,1019,0.322
yadgir,Yadgir,2024,67.7,6.6,38.9,991,0.489
