series_id,incident_id,offense_id,true_offender_person_id
SERIES0001,INC000001,OFF000002,P00688
SERIES0001,INC000002,OFF000003,P00688
SERIES0002,INC000003,OFF000004,P00649
SERIES0002,INC000004,OFF000005,P00649
SERIES0002,INC000005,OFF000006,P00649
SERIES0002,INC000006,OFF000007,P00649
SERIES0002,INC000007,OFF000008,P00649
SERIES0003,INC000008,OFF000009,P00353
SERIES0003,INC000009,OFF000010,P00353
SERIES0003,INC000010,OFF000011,P00353
SERIES0003,INC000011,OFF000012,P00353
SERIES0004,INC000012,OFF000013,P00385
SERIES0004,INC000013,OFF000014,P00385
SERIES0005,INC000014,OFF000015,P00227
SERIES0005,INC000015,OFF000016,P00227
SERIES0005,INC000016,OFF000017,P00227
SERIES0005,INC000017,OFF000018,P00227
SERIES0005,INC000018,OFF000019,P00227
SERIES0006,INC000019,OFF000020,P00105
SERIES0006,INC000020,OFF000021,P00105
SERIES0006,INC000021,OFF000022,P00105
SERIES0007,INC000022,OFF000023,P00241
SERIES0007,INC000023,OFF000024,P00241
SERIES0007,INC000024,OFF000025,P00241
SERIES0007,INC000025,OFF000026,P00241
SERIES0007,INC000026,OFF000027,P00241
SERIES0008,INC000027,OFF000028,P00396
SERIES0008,INC000028,OFF000029,P00396
SERIES0008,INC000029,OFF000030,P00396
SERIES0008,INC000030,OFF000031,P00396
SERIES0008,INC000031,OFF000032,P00396
SERIES0009,INC000032,OFF000033,P00103
SERIES0009,INC000033,OFF000034,P00103
SERIES0009,INC000034,OFF000035,P00103
SERIES0010,INC000035,OFF000036,P00550
SERIES0010,INC000036,OFF000037,P00550
SERIES0010,INC000037,OFF000038,P00550
SERIES0010,INC000038,OFF000039,P00550
SERIES0010,INC000039,OFF000040,P00550
SERIES0011,INC000040,OFF000041,P00505
SERIES0011,INC000041,OFF000042,P00505
SERIES0012,INC000042,OFF000043,P00100
SERIES0012,INC000043,OFF000044,P00100
SERIES0012,INC000044,OFF000045,P00100
SERIES0012,INC000045,OFF000046,P00100
SERIES0013,INC000046,OFF000047,P00148
SERIES0013,INC000047,OFF000048,P00148
SERIES0013,INC000048,OFF000049,P00148
SERIES0013,INC000049,OFF000050,P00148
SERIES0014,INC000050,OFF000051,P00146
SERIES0014,INC000051,OFF000052,P00146
SERIES0014,INC000052,OFF000053,P00146
SERIES0014,INC000053,OFF000054,P00146
SERIES0015,INC000054,OFF000055,P00139
SERIES0015,INC000055,OFF000056,P00139
SERIES0015,INC000056,OFF000057,P00139
SERIES0015,INC000057,OFF000058,P00139
SERIES0015,INC000058,OFF000059,P00139
SERIES0016,INC000059,OFF000060,P00741
SERIES0016,INC000060,OFF000061,P00741
SERIES0016,INC000061,OFF000062,P00741
SERIES0016,INC000062,OFF000063,P00741
SERIES0017,INC000063,OFF000064,P00504
SERIES0017,INC000064,OFF000065,P00504
SERIES0017,INC000065,OFF000066,P00504
SERIES0017,INC000066,OFF000067,P00504
SERIES0018,INC000067,OFF000068,P00406
SERIES0018,INC000068,OFF000069,P00406
SERIES0018,INC000069,OFF000070,P00406
SERIES0018,INC000070,OFF000071,P00406
SERIES0019,INC000071,OFF000072,P00301
SERIES0019,INC000072,OFF000073,P00301
SERIES0020,INC000073,OFF000074,P00335
SERIES0020,INC000074,OFF000075,P00335
SERIES0021,INC000075,OFF000076,P00009
SERIES0021,INC000076,OFF000077,P00009
SERIES0021,INC000077,OFF000078,P00009
SERIES0021,INC000078,OFF000079,P00009
SERIES0022,INC000079,OFF000080,P00368
SERIES0022,INC000080,OFF000081,P00368
SERIES0023,INC000081,OFF000082,P00178
SERIES0023,INC000082,OFF000083,P00178
SERIES0023,INC000083,OFF000084,P00178
SERIES0023,INC000084,OFF000085,P00178
SERIES0023,INC000085,OFF000086,P00178
SERIES0024,INC000086,OFF000087,P00717
SERIES0024,INC000087,OFF000088,P00717
SERIES0024,INC000088,OFF000089,P00717
SERIES0025,INC000089,OFF000090,P00394
SERIES0025,INC000090,OFF000091,P00394
SERIES0025,INC000091,OFF000092,P00394
SERIES0026,INC000092,OFF000093,P00190
SERIES0026,INC000093,OFF000094,P00190
SERIES0026,INC000094,OFF000095,P00190
SERIES0026,INC000095,OFF000096,P00190
SERIES0027,INC000096,OFF000097,P00267
SERIES0027,INC000097,OFF000098,P00267
SERIES0027,INC000098,OFF000099,P00267
SERIES0027,INC000099,OFF000100,P00267
SERIES0027,INC000100,OFF000101,P00267
SERIES0028,INC000101,OFF000102,P00107
SERIES0028,INC000102,OFF000103,P00107
SERIES0028,INC000103,OFF000104,P00107
SERIES0028,INC000104,OFF000105,P00107
SERIES0028,INC000105,OFF000106,P00107
SERIES0029,INC000106,OFF000107,P00338
SERIES0029,INC000107,OFF000108,P00338
SERIES0029,INC000108,OFF000109,P00338
SERIES0029,INC000109,OFF000110,P00338
SERIES0030,INC000110,OFF000111,P00212
SERIES0030,INC000111,OFF000112,P00212
SERIES0030,INC000112,OFF000113,P00212
SERIES0030,INC000113,OFF000114,P00212
SERIES0031,INC000114,OFF000115,P00536
SERIES0031,INC000115,OFF000116,P00536
SERIES0031,INC000116,OFF000117,P00536
SERIES0032,INC000117,OFF000118,P00736
SERIES0032,INC000118,OFF000119,P00736
SERIES0033,INC000119,OFF000120,P00198
SERIES0033,INC000120,OFF000121,P00198
SERIES0033,INC000121,OFF000122,P00198
SERIES0033,INC000122,OFF000123,P00198
SERIES0033,INC000123,OFF000124,P00198
SERIES0034,INC000124,OFF000125,P00589
SERIES0034,INC000125,OFF000126,P00589
SERIES0034,INC000126,OFF000127,P00589
SERIES0034,INC000127,OFF000128,P00589
SERIES0034,INC000128,OFF000129,P00589
SERIES0035,INC000129,OFF000130,P00689
SERIES0035,INC000130,OFF000131,P00689
SERIES0036,INC000131,OFF000132,P00415
SERIES0036,INC000132,OFF000133,P00415
SERIES0036,INC000133,OFF000134,P00415
SERIES0036,INC000134,OFF000135,P00415
SERIES0036,INC000135,OFF000136,P00415
SERIES0037,INC000136,OFF000137,P00559
SERIES0037,INC000137,OFF000138,P00559
SERIES0037,INC000138,OFF000139,P00559
SERIES0037,INC000139,OFF000140,P00559
SERIES0038,INC000140,OFF000141,P00748
SERIES0038,INC000141,OFF000142,P00748
SERIES0038,INC000142,OFF000143,P00748
SERIES0038,INC000143,OFF000144,P00748
SERIES0038,INC000144,OFF000145,P00748
SERIES0039,INC000145,OFF000146,P00015
SERIES0039,INC000146,OFF000147,P00015
SERIES0039,INC000147,OFF000148,P00015
SERIES0039,INC000148,OFF000149,P00015
SERIES0039,INC000149,OFF000150,P00015
SERIES0040,INC000150,OFF000151,P00278
SERIES0040,INC000151,OFF000152,P00278
SERIES0040,INC000152,OFF000153,P00278
SERIES0041,INC000153,OFF000154,P00249
SERIES0041,INC000154,OFF000155,P00249
SERIES0041,INC000155,OFF000156,P00249
SERIES0041,INC000156,OFF000157,P00249
SERIES0042,INC000157,OFF000158,P00326
SERIES0042,INC000158,OFF000159,P00326
SERIES0042,INC000159,OFF000160,P00326
SERIES0043,INC000160,OFF000161,P00359
SERIES0043,INC000161,OFF000162,P00359
SERIES0043,INC000162,OFF000163,P00359
SERIES0043,INC000163,OFF000164,P00359
SERIES0044,INC000164,OFF000165,P00050
SERIES0044,INC000165,OFF000166,P00050
SERIES0044,INC000166,OFF000167,P00050
SERIES0045,INC000167,OFF000168,P00294
SERIES0045,INC000168,OFF000169,P00294
SERIES0045,INC000169,OFF000170,P00294
SERIES0045,INC000170,OFF000171,P00294
SERIES0046,INC000171,OFF000172,P00114
SERIES0046,INC000172,OFF000173,P00114
SERIES0047,INC000173,OFF000174,P00392
SERIES0047,INC000174,OFF000175,P00392
SERIES0048,INC000175,OFF000176,P00640
SERIES0048,INC000176,OFF000177,P00640
SERIES0048,INC000177,OFF000178,P00640
SERIES0049,INC000178,OFF000179,P00798
SERIES0049,INC000179,OFF000180,P00798
SERIES0050,INC000180,OFF000181,P00420
SERIES0050,INC000181,OFF000182,P00420
SERIES0051,INC000182,OFF000183,P00503
SERIES0051,INC000183,OFF000184,P00503
SERIES0052,INC000184,OFF000185,P00216
SERIES0052,INC000185,OFF000186,P00216
SERIES0052,INC000186,OFF000187,P00216
SERIES0052,INC000187,OFF000188,P00216
SERIES0052,INC000188,OFF000189,P00216
SERIES0053,INC000189,OFF000190,P00097
SERIES0053,INC000190,OFF000191,P00097
SERIES0053,INC000191,OFF000192,P00097
SERIES0053,INC000192,OFF000193,P00097
SERIES0054,INC000193,OFF000194,P00060
SERIES0054,INC000194,OFF000195,P00060
SERIES0055,INC000195,OFF000196,P00350
SERIES0055,INC000196,OFF000197,P00350
